id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3673,95,9509,3,NAJIB,Mohamed,M.,DIV,Divers
3674,95,9509,4,DEMIR,Elisa,Mme,ENS,Ensemble ! (Majorité présidentielle)
3675,95,9509,5,HANRYON,Danièle,Mme,EXG,Extrême gauche
3676,95,9509,6,ARCIERO,Anthony,M.,LR,Les Républicains
3677,95,9509,7,MARION,Agnès,Mme,RN,Rassemblement National
3678,95,9509,8,WASSA,Nsimba,Mme,DIV,Divers
3679,95,9509,9,LE GALL,Arnaud,M.,UG,Union de la gauche
3680,95,9510,1,FLAUX,Christophe,M.,EXG,Extrême gauche
3681,95,9510,2,ÉTORÉ-MANIKA,Edwina,Mme,LR,Les Républicains
3682,95,9510,4,TACHÉ,Aurélien,M.,UG,Union de la gauche
3683,95,9510,5,SAINT-JEAN,Albert,M.,UDI,Union des Démocrates et Indépendants
3684,95,9510,6,MACÉ,Lisbeth,Mme,RN,Rassemblement National
3685,95,9510,7,KRIMI,Sonia,Mme,ENS,Ensemble ! (Majorité présidentielle)
3686,95,9510,8,CAILLOT,Jean,M.,EXG,Extrême gauche
3687,95,9510,9,DE LA FAYE,Souade,Mme,DSV,Droite souverainiste
3688,971,97101,1,DIAKOK,Danielle,Mme,EXG,Extrême gauche
3689,971,97101,2,ROYER,Tarius,M.,RN,Rassemblement National
3690,971,97101,3,MAQUIABA,Laurence,Mme,REG,Régionaliste
3691,971,97101,4,SERVA,Olivier,M.,DVG,Divers gauche
3692,971,97101,5,FARO,Rudy Fiacre,M.,LR,Les Républicains
3693,971,97101,6,NABAJOTH,Alix,M.,DVG,Divers gauche
3694,971,97101,7,LERUS,Chantal,Mme,DVG,Divers gauche
3695,971,97101,8,REBUS,Tony,M.,DIV,Divers
3696,971,97101,9,MBALA MBALA,Dieudonné,M.,DIV,Divers
3697,971,97101,10,MARTOL,Marvyn,M.,SOC,Parti socialiste
3698,971,97101,11,ARMANTRADING,Rosemary,Mme,REC,Reconquête !
3699,971,97102,1,SYLVESTRE,Priscilla,Mme,DIV,Divers
3700,971,97102,2,SALIM,Steve,M.,DIV,Divers
3701,971,97102,3,TOLA,Michel,M.,DVG,Divers gauche
3702,971,97102,4,AYASSAMI,José,M.,DIV,Divers
3703,971,97102,5,TOLASSY,Ludovic,M.,REG,Régionaliste
3704,971,97102,6,BAPTISTE,Christian,M.,DVG,Divers gauche
3705,971,97102,8,GALAS,Patrick Marcellin,M.,DVC,Divers centre
3706,971,97102,9,POMMIER,Paméla,Mme,DIV,Divers
3707,971,97102,10,ALDO,Blaise,M.,DVD,Divers droite
3708,971,97102,11,MOLIA,Raymond,M.,DIV,Divers
3709,971,97102,12,AYASSAMY,Moïse,M.,DVG,Divers gauche
3710,971,97102,13,CIREDERF-ROUYAR,Steeve,M.,UG,Union de la gauche
3711,971,97102,14,PETIT,Laurent,M.,RN,Rassemblement National
3712,971,97103,1,PIGNAC,Christèle,Mme,REC,Reconquête !
3713,971,97103,2,MATHIASIN,Max,M.,DVG,Divers gauche
3714,971,97103,3,DESHAYES,Fred,M.,DVG,Divers gauche
3715,971,97103,4,ABDOUL-MANINROUDINE,Bernard,M.,DIV,Divers
3716,971,97103,5,PETITFOND,Christopher,M.,DVC,Divers centre
3717,971,97103,6,LALANNE,Francis,M.,DIV,Divers
3718,971,97103,7,ESDRAS,Sidjie,Mme,EXG,Extrême gauche
3719,971,97103,8,CORIOLAN,Eric,M.,REG,Régionaliste
3720,971,97103,10,TOLASSY,Rody,M.,RN,Rassemblement National
3721,971,97103,11,CITADELLE,Nicolas,M.,SOC,Parti socialiste
3722,971,97104,1,CALIFER,Elie,M.,SOC,Parti socialiste
3723,971,97104,2,PLANTIER,Paola,Mme,REC,Reconquête !
3724,971,97104,3,MONTHOUËL,Lydie Marie,Mme,RN,Rassemblement National
3725,971,97104,4,NOMERTIN,Jean-Marie,M.,EXG,Extrême gauche
3726,971,97104,5,BOUCHER,Claudia,Mme,DIV,Divers
3727,971,97104,6,LINON,Jennifer,Mme,DVC,Divers centre
3728,972,97201,1,LAGIER,Alain-Claude,M.,DVG,Divers gauche
3729,972,97201,2,EDMOND-MARIETTE,Philippe,M.,REG,Régionaliste
3730,972,97201,3,JEAN-MARIE,Gabriel,M.,EXG,Extrême gauche
3731,972,97201,4,CRAMPON,Cédric,M.,RN,Rassemblement National
3732,972,97201,5,FIARI,Fabrice,M.,DIV,Divers
3733,972,97201,6,HOCHE,Sylvain,M.,DVD,Divers droite
3734,972,97201,7,MIEVILLY,Yann,M.,ECO,Ecologistes
3735,972,97201,8,WILLIAM,Jiovanny,M.,REG,Régionaliste
3736,972,97202,1,REMIR,Juvénal,M.,RN,Rassemblement National
3737,972,97202,2,RAPHA,Christian,M.,DVD,Divers droite
3738,972,97202,3,VENTADOUR,Alexandre,M.,DVG,Divers gauche
3739,972,97202,4,NADEAU,Marcellin,M.,REG,Régionaliste
3740,972,97202,5,MONPLAISIR,Yan,M.,DVD,Divers droite
3741,972,97203,1,DISPAGNE,Frédérique,Mme,DVG,Divers gauche
3742,972,97203,2,BELLAY,Beatrice,Mme,SOC,Parti socialiste
3743,972,97203,3,HAJJAR,Johnny,M.,DVG,Divers gauche
3744,972,97203,4,JOS,Nathalie,Mme,REG,Régionaliste
3745,972,97203,5,GRANIER,Emmanuel,M.,DVD,Divers droite
3746,972,97203,6,FERRATY,Max,M.,RN,Rassemblement National
3747,972,97203,7,SULIO,Mélanie,Mme,EXG,Extrême gauche
3748,972,97203,8,CAROLE,Francis,M.,REG,Régionaliste
3749,972,97204,1,GALOT,Yvette,Mme,DVG,Divers gauche
3750,972,97204,2,PETIT,Philippe,M.,UDI,Union des Démocrates et Indépendants
3751,972,97204,3,GOUSSARD,Aude,Mme,REG,Régionaliste
3752,972,97204,4,NILOR,Jean-Philippe,M.,REG,Régionaliste
3753,972,97204,5,THERESE,Karine,Mme,ECO,Ecologistes
3754,972,97204,6,BOUTRIN,Louis,M.,ECO,Ecologistes
3755,972,97204,7,ROY-LARENTRY,Grégory Michel,M.,RN,Rassemblement National
3756,973,97301,1,CASTOR,Jean-Victor,M.,REG,Régionaliste
3757,973,97301,2,GOUA,Yvane,Mme,REG,Régionaliste
3758,973,97301,3,CHONG SIT,Boris,M.,DVD,Divers droite
3759,973,97301,4,TAOUMI,Olivier,M.,RN,Rassemblement National
3760,973,97301,5,MIRAKOFF,Jean-Yves,M.,DVG,Divers gauche
3761,973,97302,1,CAUGANT,Sébastien,M.,EXD,Extrême droite
3762,973,97302,2,NEMAN,Aldo,M.,DVG,Divers gauche
3763,973,97302,3,CHARLES,Sophie,Mme,DVC,Divers centre
3764,973,97302,4,DOLOR,Jean-Philippe,M.,DVC,Divers centre
